# locales: en-US, de-DE, es-ES, fr-FR, it-IT, pl-PL, pt-BR, ru-RU, zh-Hans
# Generated by Scripts/Localization/locale_spreadsheet.py --export-pending
# Only rows with at least one pending (untranslated / commented-stub) cell.
# Fill blanks; re-run --import to write back into the hjson files.
Key	en-US	de-DE	es-ES	fr-FR	it-IT	pl-PL	pt-BR	ru-RU	zh-Hans
UI.Building.SlopeBottomLeft	Slope ◢ (Down-Left)		Rampa ◢ (Abajo-Izquierda)	Pente ◢ (Bas-Gauche)					
UI.Building.SlopeTopRight	Slope ◤ (Up-Right)		Rampa ◤ (Arriba-Derecha)	Pente ◤ (Haut-Droite)					
UI.Building.SlopeTopLeft	Slope ◥ (Up-Left)		Rampa ◥ (Arriba-Izquierda)	Pente ◥ (Haut-Gauche)					
UI.Building.OverwriteSlope	Overwrite Slope		Sobrescribir Rampa	Remplacer la pente					
UI.Building.Options	Building Options		Opciones de Construcción						
UI.Dismantling.Title	Wand of Dismantling		Varita de Desmantelamiento	Baguette de démantèlement					
UI.Dismantling.Options	Options		Opciones	Options					
UI.Dismantling.DestroyTiles	Destroy Tiles		Destruir Bloques	Détruire les blocs					
UI.Dismantling.DestroyWalls	Destroy Walls		Destruir Paredes	Détruire les murs					
UI.Dismantling.DestroyContainers	Destroy Chests		Destruir Cofres	Détruire les coffres					
UI.Dismantling.DestroyContainersTooltip	Only active when Destroy Tiles is also enabled		Solo activo cuando Destruir Bloques también está activado	Actif uniquement lorsque Détruire les blocs est également activé					
UI.Dismantling.VoidEverything	Void Everything		Desaparecer Todo						
UI.Dismantling.VoidEverythingTooltip	Toggle Void Everything mode. When active, dismantling operations will obliterate all tiles, walls, liquids, wires, and actuators instead of normal dismantling.		Permitir Desaparecer Todo. Este modo destruye todos los objetos, líquidos y activadores en vez de desmantelar normalmente						
UI.Dismantling.VoidEverythingDisabled	Void Everything requires Carefree Mode to be enabled in server config.		Desparecer Todo requiere Modo Despreocupado permitido en las configuraciones						
UI.Replacement.Title	Wand of Replacement		Varita de Reemplazo	Baguette de remplacement					
UI.Replacement.SourceType	Source Type (Find)		Tipo Origen (Buscar)	Type source (Rechercher)					
UI.Replacement.TargetType	Target Type (Replace)		Tipo Destino (Reemplazar)	Type cible (Remplacer)					
UI.Replacement.Tile	Tile		Bloque	Bloc					
UI.Replacement.Platform	Platform		Plataforma	Plateforme					
UI.Replacement.Rope	Rope		Cuerda	Corde					
UI.Replacement.Planter	Planter		Macetero	Bac					
UI.Replacement.Rail	Rail		Riel	Rail					
UI.Replacement.Seeds	Seeds		Semillas	Graines					
UI.Replacement.Air	Air (Remove)		Aire (Eliminar)	Air (Supprimer)					
UI.Replacement.Wall	Wall		Pared	Mur					
UI.Replacement.Options	Replacement Options		Optiones de Reemplazar						
UI.Replacement.SameType	Same Type		Mismo Tipo	Même Type					
UI.Wiring.Title	Wand of Wiring		Varita de Cableado	Baguette de câblage					
UI.Wiring.WireTypes	Wire Types		Tipos de Cable	Types de fil					
UI.Wiring.RedWire	Red Wire		Cable Rojo	Fil rouge					
UI.Wiring.GreenWire	Green Wire		Cable Verde	Fil vert					
UI.Wiring.BlueWire	Blue Wire		Cable Azul	Fil bleu					
UI.Wiring.YellowWire	Yellow Wire		Cable Amarillo	Fil jaune					
UI.Wiring.Actuator	Actuator		Actuador	Actionneur					
UI.Wiring.Mode	Mode		Modo	Mode					
UI.Wiring.Place	Place		Colocar	Placer					
UI.Wiring.Remove	Remove		Quitar	Retirer					
UI.Safekeeping.Title	Wand of Safekeeping		Varita de Preservación	Baguette de préservation					
UI.Safekeeping.Mode	Mode		Modo	Mode					
UI.Safekeeping.Protect	Protect		Proteger	Protéger					
UI.Safekeeping.Unprotect	Unprotect		Desproteger	Déprotéger					
UI.Safekeeping.ProtectTiles	Protect Tiles		Proteger Bloques	Protéger les blocs					
UI.Safekeeping.ProtectWalls	Protect Walls		Proteger Paredes	Protéger les murs					
UI.Safekeeping.ClearAll	Clear All		Desproteger Todo	Tout déprotéger					
UI.Safekeeping.ClearConfirm	Click to Confirm!		clic para confirmar	Cliquez pour confirmer !					
UI.Coating.Title	Wand of Coating		Varita de Revestimientos						
UI.Coating.Mode	Mode		Modo						
UI.Coating.PaintTile	Paint Tile		Pintar Objetos						
UI.Coating.PaintWall	Paint Wall		PIntar Muros						
UI.Coating.ScrapePaint	Scrape Paint		Remover Pintura						
UI.Coating.ScrapeMoss	Scrape Moss		Remover Musgo						
UI.Coating.HarvestMoss	Harvest Moss		Cosechar Musgo						
UI.Coating.PaintColor	Paint Color		Color de Pintura						
UI.Coating.CoatingType	Coating		Recubrimiento						
UI.Coating.Illuminant	Illuminant		Iluminador						
UI.Coating.Echo	Echo		Eco						
UI.Coating.Ignore	Ignore		Ignorar						
UI.Coating.On	On		Activado						
UI.Coating.Off	Off		Desactivado						
UI.Coating.Repaint	Repaint		Repintar						
UI.Coating.EyedropperHint	Alt+click a painted tile to copy its colour into Paint Color.								
UI.CollapsibleSection.ExpandTooltip	Expand section								
UI.CollapsibleSection.CollapseTooltip	Collapse section								
UI.CollapsibleSection.PopoutTooltip	Pop out into a draggable mini-panel								
UI.Fluids.Title	Wand of Fluids		Varita de Fluidos						
UI.Fluids.PlaceType	Liquid Type		Tipo de Líquido						
UI.Fluids.Water	Water		Agua						
UI.Fluids.Lava	Lava		Lava						
UI.Fluids.Honey	Honey		Miel						
UI.Fluids.Shimmer	Shimmer		Fulgor						
UI.Fluids.Bubble	Bubble Block		Burbuja						
UI.Fluids.FillMode	Fill Mode		Estilo de Llenado						
UI.Fluids.FullLiquid	Full Liquid		Llenado Completo						
UI.Fluids.RainFill	Rain Fill		Llenado de Lluvia						
UI.Fluids.PocketFill	Pocket Fill		Llenado de Cavidades						
UI.Fluids.Operation	Operation		Operación						
UI.Fluids.Fill	Fill		Llenar						
UI.Fluids.Drain	Drain		Drenar						
UI.Fluids.SelectiveDrain	Selective Drain		Drenado Selectivo						
UI.Torches.Title	Wand of Torches		Varita de Antorchas						
UI.Torches.TilingStyle	Tiling Style		Estilo de Teselado						
UI.Torches.Manhattan	Manhattan (Diamond Lattice)		Manhattan (Teselado Mínimo)						
UI.Torches.Grid	Grid (Rectangular)		Cuadrícula						
UI.Torches.SpacingX	Spacing X:		Espaciado en X						
UI.Torches.SpacingY	Spacing Y:		Espaciado en Y						
UI.Torches.TorchOptions	Torch Options		Opciones de Antorchas						
UI.Torches.BiomeTorch	Biome Torch		Antorcha de Bioma						
UI.Torches.OverwriteTorches	Overwrite Torches		Sobreescribir Antorchas						
UI.Torches.EchoCoatIgnore	Echo Coat: Ignore		Revestimiento Eco: Ignorar						
UI.Torches.EchoCoatApply	Echo Coat: Apply		Revestimiento Eco: Aplicar						
UI.Torches.EchoCoatRemove	Echo Coat: Remove		Revestimiento Eco: Remover						
UI.Torches.ModeHeader	Mode		Modo						
UI.Torches.ModPlace	Place		Colocar						
UI.Torches.ModReplace	Replace		Intercambiar						
UI.Torches.ModRemove	Remove		Remover						
UI.Torches.ModConvert	Convert (Biome)		Convertir a Bioma						
UI.Torches.ReferenceHeader	Reference Point		Punto de Referencia						
UI.Torches.RefFirstValid	First Valid Tile		Primer Posición Válida						
UI.Torches.RefBboxTopLeft	Bbox Top-Left		Esquina sup. izq. de Selección						
UI.Torches.RefBboxTopRight	Bbox Top-Right		Esquina sup. der. de Selección						
UI.Torches.RefBboxBottomLeft	Bbox Bottom-Left		Esquina inf. izq. de Selección						
UI.Torches.RefBboxBottomRight	Bbox Bottom-Right		Esquina inf. der. de Selección						
UI.Torches.RefFirstClick	First Click		Esquina de Primer Click						
UI.Torches.RefMousePos	Mouse Position		Posición del Ratón						
UI.Torches.FlipTiling	Flip Tiling		Alternar Teselado						
UI.Torches.AlignToExisting	Align to Existing Torches		Alinear a Antorchas Existentes						
UI.Selection.Title	Wand of Delimitation		Varita de Delimitación						
UI.Selection.Mode	Mode		Modo						
UI.Selection.ModeSelection	Selection Mode		Modo Selección						
UI.Selection.ModeCanvasEdit	Canvas Edit Mode		Modo Ajuste de Canvas						
UI.Selection.Operation	Operation		Operación						
UI.Selection.OpAdd	Add (Union)		Añadir (Unión)						
UI.Selection.OpRemove	Remove (Subtract)		Remover (Substraer)						
UI.Selection.OpIntersect	Intersect		Intersección						
UI.Selection.OpXOR	XOR (Toggle)		XOR (Alternar)						
UI.Selection.Actions	Actions		Acciones						
UI.Selection.ClearSelection	Clear Selection		Vaciar Selección						
UI.Selection.InvertSelection	Invert Selection		Invertir Selección						
UI.Selection.ClearCanvas	Clear Canvas		Vaciar Canvas						
UI.Selection.ClearAll	Clear All		Vaciar Todo						
UI.Selection.TeleportToPlayer	Teleport to Player		Teletransportar a mi posición						
UI.Selection.AutoCreateCanvas	Auto-Create Canvas		Auto-creado de Canvas						
UI.Selection.Status	Status		Estado						
UI.Molding.Title	Wand of Molding		Varita de Moldeado						
UI.Molding.Mode	Mode		Modo						
UI.Molding.ModeSelection	Selection Mode		Modo Selección						
UI.Molding.ModeCanvasEdit	Canvas Edit Mode		Modo Ajuste de Canvas						
UI.Molding.Operation	Operation		Operación						
UI.Molding.OpAdd	Add (Union)		Añadir (Unión)						
UI.Molding.OpRemove	Remove (Subtract)		Remover (Substraer)						
UI.Molding.OpIntersect	Intersect		Intersección						
UI.Molding.OpXOR	XOR (Toggle)		XOR (Alternar)						
UI.Molding.Actions	Actions		Acciones						
UI.Molding.ClearSelection	Clear Selection		Vaciar Selección						
UI.Molding.InvertSelection	Invert Selection		Invertir Selección						
UI.Molding.ClearCanvas	Clear Canvas		Vaciar Canvas						
UI.Molding.ClearAll	Clear All		Vaciar Todo						
UI.Molding.TeleportToPlayer	Teleport to Player		Teletransportar a mi posición						
UI.Molding.AutoCreateCanvas	Auto-Create Canvas		Auto-creado de Canvas						
UI.Molding.Status	Status		Estado						
UI.InventoryView.ClearAllPins	Clear all pins		Vaciar Pines (Fijados)						
UI.InventoryView.NoCandidates	No matching items in inventory		Cero objetos del tipo en inventario						
UI.InventoryView.Building.PanelTitle	Building Blocks		Bloques de Construcción						
UI.InventoryView.Building.TileTitle	Tiles		Objetos						
UI.InventoryView.Building.WallTitle	Walls		Muros						
UI.InventoryView.Torches.PanelTitle	Torches		Antorchas						
UI.InventoryView.Torches.Title	Torches		Antorchas						
UI.InventoryView.Replacement.PanelTitle	Replace From / To		Remplazar Esto a esto.						
UI.InventoryView.Replacement.SourceTitle	Replace…		Reemplazar Esto...						
UI.InventoryView.Replacement.TargetTitle	…with		... con esto						
Configs.ResourcesConfig.EnableInfiniteResource.Label	Enable Infinite Resource Mode		Activar Recursos Infinitos						
Configs.ResourcesConfig.EnableInfiniteResource.Tooltip	If enabled, building/replacement wands will stop consuming items when you hold enough in your inventory (see per-type thresholds below). Set a threshold to 0 for always-infinite.		Al estar activo, las varitas de construcción y reemplazo dejarán de consumir objetos si tienes suficientes en tu inventario. Establece el umbral en 0 para nunca consumir						
Configs.ResourcesConfig.InfiniteTileThreshold.Label	Tile Threshold		Umbral de Objetos						
Configs.ResourcesConfig.InfiniteWallThreshold.Label	Wall Threshold		Umbral de Muros						
Configs.ResourcesConfig.InfiniteGrassSeedThreshold.Label	Grass Seed Threshold		Umbral de Semillas						
Configs.ResourcesConfig.InfiniteWireThreshold.Label	Wire Threshold		Umbral de Cable						
Configs.ResourcesConfig.InfiniteActuatorThreshold.Label	Actuator Threshold		Umbral de Activadores						
Configs.ResourcesConfig.InfiniteTiles.Label	Infinite Tiles (Override)		Umbral de Objetos						
Configs.ResourcesConfig.InfiniteWalls.Label	Infinite Walls (Override)		Sobreescribir Umbral de Objetos						
Configs.ResourcesConfig.InfiniteGrassSeeds.Label	Infinite Grass Seeds (Override)		Sobreescribir Umbral de Muros						
Configs.ResourcesConfig.InfiniteWires.Label	Infinite Wires (Override)		Sobreescribir Umbral de Semillas						
Configs.ResourcesConfig.InfiniteActuators.Label	Infinite Actuators (Override)		Sobreescribir Umbral de Cable						
Configs.ResourcesConfig.IsInfiniteForActuators.Tooltip	""		Sobreescribir Umbral de Activadores						
Configs.ResourcesConfig.IsInfiniteForActuators.Label	Is Infinite For Actuators		Sobreescribir Umbral de Objetos						
Configs.ResourcesConfig.IsInfiniteForWires.Tooltip	""								
Configs.ResourcesConfig.IsInfiniteForWires.Label	Is Infinite For Wires		Cables Infinitos						
Configs.SandboxConfig.SuppressDrops.Label	Suppress Tile Drops		Suprimir Objetos Recogibles						
Configs.SandboxConfig.BypassPickaxePower.Label	Bypass Pickaxe Power		Ignorar Poder de Pico						
Configs.SandboxConfig.AllowDemonAltarDestruction.Label	Allow Demon Altar Destruction		Permitir Destrucción de Altares Malvados						
Configs.SandboxConfig.AllowDelicateTileDestruction.Label	Allow Delicate Tile Destruction		Permitir Destrucción de Objetos Delicados						
Configs.SandboxConfig.IgnoreLockedKeyRequirements.Label	Ignore Locked Key Requirements		Ignorar Requisitos de Cofres y llaves						
Configs.SandboxConfig.AutoOpenChestsOnDestruction.Label	Auto-Open Chests on Destruction		Abrir Cofres bajo llave automáticamente al desmantelar						
Configs.SandboxConfig.VacuumItems.Label	Vacuum Dropped Items		Absorber Objetos Recogibles						
Configs.SandboxConfig.EnableUndoCommand.Label	Enable Undo Commands (Experimental)		Permitir comando deshacer (/undo) (Experimental)						
Configs.LimitsConfig.SmallSelectionCap.Label	Small Shape Cap (Elbow / Cardinal / Straight)		Límite de Forma Pequeña (Codo / Línea Cardinal / Línea Recta)						
Configs.LimitsConfig.BigSelectionCap.Label	Big Shape Cap (Rect / Ellipse / etc.)		Límite de Forma Grande (Rectángulo / Elipse / etc.)						
Configs.LimitsConfig.HollowSelectionCap.Label	Hollow Shape Cap		Límite de Forma Hueca						
Configs.LimitsConfig.CoatingSelectionCap.Label	Coating Wand Cap		Límite de dimensión de Varita de Revestimiento						
Configs.LimitsConfig.MoldingSelectionCap.Label	Molding Wand Cap		Límite de dimensión de Varita de Moldeado						
Configs.LimitsConfig.DelimitationSelectionCap.Label	Delimitation Wand Cap		Límite de dimensión de Varita de Delimitación						
Configs.LimitsConfig.MaxOutlineThickness.Label	Max Outline Thickness		Grosor Máximo del Contorno						
Configs.LimitsConfig.OperationCooldownTicks.Label	Operation Cooldown (ticks)		Tiempo de Enfriamiento (ticks)						
Configs.LimitsConfig.MaxConfirmDistance.Label	Max Confirm Distance (tiles)		Distancia Máxima de Confirmación (bloques)						
Configs.LimitsConfig.SafekeepingClearThreshold.Label	Clear All Confirmation Threshold		Umbral de Confirmación para Limpiar Todo						
Configs.PerformanceConfig.EnableProgressiveMode.Label	Enable Progressive Mode		Habilitar Modo Progresivo						
Configs.PerformanceConfig.ProgressiveBatchSize.Label	Batch Size		Tamaño del Lote						
Configs.PerformanceConfig.ProgressiveInterval.Label	Batch Interval (seconds)		Intervalo del Lote (segundos)						
Configs.StampConfig.StampChannelFrames.Label	Channel Charge Time (frames)		Tiempo de Carga (ticks)						
Configs.StampConfig.StampRepeatFrames.Label	Repeat Interval (frames)		Intervalo de Repetición (tics)						
Configs.StampConfig.CoatingStampChannelFrames.Label	Coating Channel Charge Time (frames)		Tiempo de Carga de Varita de Revestimientos						
Configs.StampConfig.StampExecuteOnClick.Label	Execute on First Click		Ejecutar al Primer Clic						
Configs.TorchWheelConfig.TorchWheelSpacingS.Label	Outline Spacing (S)		Espaciado al Recorrer Contornos						
Configs.TorchWheelConfig.TorchWheelSpacingD.Label	Absolute Spacing (D)		Espaciado Absoluto						
Configs.TorchWheelConfig.TorchWheelMaxTorches.Label	Max Torches Per Shot		Máx. Antorchas por Uso						
Configs.TorchWheelConfig.TorchWheelMaxTiles.Label	Max Tiles (step budget)		Máx. Bloques (pasos)						
Configs.TorchWheelConfig.TorchWheelMaxBacktrackSteps.Label	Max Backtrack Steps		Máx. Pasos de Pre-escaneo						
Configs.TorchWheelConfig.TorchWheelFriendly.Label	Torch Wheel Damages Entities		La Rueda de Antorchas Destruye Ambiente						
Configs.TorchWheelConfig.UnderwaterTorchLookup.Label	Underwater Torch Lookup		Búsqueda de Antorchas Subacuáticas						
Configs.TorchWheelConfig.AutoWaterproofTorches.Label	Auto-Waterproof Torches		Antorchas Impermeables Automáticas						
Configs.TorchWheelConfig.OceanWaterproofTorch.Label	Ocean Waterproof Torch		Antorcha Impermeable para Océano						
Configs.TorchWheelConfig.NonOceanWaterproofTorch.Label	Non-Ocean Waterproof Torch		Antorcha Impermeable (No Océano)						
Configs.TorchWheelConfig.SmartBiomeTorchLookup.Label	Smart Biome Torch Lookup		Búsqueda Inteligente de Antorchas por Bioma						
Configs.TorchWheelConfig.EvilTorchRequiresHardmode.Label	Evil Torch Requires Hardmode		Las Antorchas Malignas Requieren Modo Difícil						
Configs.TorchWheelConfig.SubstituteCoralTorchPreHardmode.Label	Substitute Coral Torch Pre-Hardmode		Substituir Antorcha de Coral Antes del Modo Difícil						
Configs.TorchWheelConfig.SmoothVisualPath.Label	Smooth Visual Path		Suavizar Trayectoria Visual						
Configs.TorchWheelConfig.AnimateTorchWheel.Label	Animate Torch Wheel		Animar la Rueda de Antorchas						
Configs.TorchWheelConfig.PhotosensitivityWarning.Label	Photosensitivity Warning		Advertencia de Fotosensibilidad						
Configs.CarefreeConfig.EnableCarefreeMode.Label	Enable Carefree Mode		Habilitar Modo Despreocupado						
Configs.CarefreeConfig.CarefreeSuppressDrops.Label	Carefree: Suppress Drops		Modo Despreocupado: Suprimir Obtención de Objetos						
Configs.CarefreeConfig.CarefreeSuppressDrops.Tooltip	When Carefree Mode is on, controls whether item drops are suppressed during wand operations.		Cuando el modo despreocupado está activado, determina si se suprime la obtención de objetos durante el uso de los controles.						
Configs.CarefreeConfig.CarefreeAllowDemonAltarDestruction.Label	Carefree: Allow Demon Altar Destruction		Modo Despreocupado: Permitir destrucción de altares demoníacos						
Configs.CarefreeConfig.CarefreeAllowDemonAltarDestruction.Tooltip	When Carefree Mode is on, controls whether Demon/Crimson Altars can be destroyed.		Cuando el modo despreocupado está activado, determina si se pueden destruir altares demoníacos o de carmesí.						
Configs.CarefreeConfig.CarefreeAllowDelicateTileDestruction.Label	Carefree: Allow Delicate Tile Destruction		Modo Despreocupado: Permitir destrucción de bloques delicados						
Configs.CarefreeConfig.CarefreeAllowDelicateTileDestruction.Tooltip	When Carefree Mode is on, controls whether delicate tiles (e.g. Shadow Orbs, Demon Hearts) can be destroyed.		Cuando el Modo Despreocupado está activado, controla si se pueden destruir los bloques delicados (p. ej., Orbes Sombríos, Corazones Demoníacos).						
Configs.OverlayConfig.OverlayRenderMode.Label	Overlay Render Mode		Modo de Renderizado de Capa de Vista Previa						
Configs.OverlayConfig.ShapeOverlayAlpha.Label	Shape Overlay Opacity		Opacidad de Capa de Vista Previa de Forma						
Configs.OverlayConfig.NegativeSpaceAlpha.Label	Negative Space Opacity		Opacidad de Espacio Negativo						
Configs.OverlayConfig.SelectionOverlayColor.Label	Selection Overlay Color		Color de Capa de Vista Previa de Selección						
Configs.OverlayConfig.UsePerFamilyOverlayColor.Label	Per-Family Overlay Color		Color de Capa de Vista Previa por Familia						
Configs.OverlayConfig.OverlayBrightnessMin.Label	Overlay Brightness Min		Brillo Mínimo de Capa de Vista Previa						
Configs.OverlayConfig.OverlayBrightnessMax.Label	Overlay Brightness Max		Brillo Máximo de Capa de Vista Previa						
Configs.OverlayConfig.ShowTilingPreview.Label	Show Tiling Preview		Mostrar Vista Previa de Teselado						
Configs.OverlayConfig.StampRenderMode.Label	Stamp Smoothing		Suavizado de Sello						
Configs.CanvasOverlayConfig.CanvasOutsideAlpha.Label	Outside Dimming Alpha		Alfa de Atenuación Exterior						
Configs.CanvasOverlayConfig.CanvasFillAlpha.Label	Canvas Fill Alpha		Alfa de Relleno del Canvas						
Configs.CanvasOverlayConfig.CanvasTileSelectionAlpha.Label	Tile Selection Alpha		Alfa de Selección de Bloques						
Configs.CanvasOverlayConfig.CanvasOutsideColor.Label	Outside Dimming Color		Color de Atenuación Exterior						
Configs.CanvasOverlayConfig.CanvasFillColor.Label	Canvas Fill Color		Color de Relleno del Canvas						
Configs.CanvasOverlayConfig.CanvasTileSelectionColor.Label	Tile Selection Color		Color de Selección de Bloques						
Configs.CanvasOverlayConfig.MoldingOutsideAlpha.Label	Outside Dimming Alpha (Molding)		Alfa de Atenuación Exterior (Moldeado)						
Configs.CanvasOverlayConfig.MoldingCanvasFillAlpha.Label	Canvas Fill Alpha (Molding)		Alfa de Relleno del Canvas (Moldeado)						
Configs.CanvasOverlayConfig.MoldingTileSelectionAlpha.Label	Tile Selection Alpha (Molding)		Alfa de Selección de Bloques (Moldeado)						
Configs.CanvasOverlayConfig.MoldingOutsideColor.Label	Outside Dimming Color (Molding)		Color de Atenuación Exterior (Moldeado)						
Configs.CanvasOverlayConfig.MoldingCanvasColor.Label	Canvas Fill Color (Molding)		Color de Relleno del Canvas (Moldeado)						
Configs.CanvasOverlayConfig.MoldingTileSelectionColor.Label	Tile Selection Color (Molding)		Color de Selección de Bloques (Moldeado)						
Configs.PreferencesConfig.ShowLoreTooltips.Label	Show Lore Tooltips		Mostrar Descripciones de Lore						
Configs.PreferencesConfig.ShowLoreTooltips.Tooltip	When enabled, holding Shift while hovering a wand shows its lore text.\nDisable to hide lore entirely.		Cuando está activado, mantener presionado Mayús mientras se pasa el cursor sobre una varita muestra su lore.\nDesactívalo para ocultar la historia por completo.						
Configs.PreferencesConfig.EnableWandSounds.Label	Enable Wand Sound Effects		Activar Efectos de Sonido de Varitas						
Configs.PreferencesConfig.EnableWandSounds.Tooltip	When enabled, wands play custom sound effects on action success.\nDisable for silent operations.		Cuando está activado, las varitas reproducen efectos de sonido personalizados al realizar acciones con éxito.\nDesactívalo para operaciones silenciosas.						
Configs.PreferencesConfig.MaxUndoStackSize.Label	Max Undo Stack Size		Tamaño Máximo de Historial de Deshacer						
Configs.PreferencesConfig.AllowChanneling.Label	Allow Channeling		Permitir Canalización						
Configs.PreferencesConfig.AllowChannelingDust.Label	Show Channeling Dust		Mostrar Polvo de Canalización						
Configs.PreferencesConfig.AllowChannelingSound.Label	Play Channeling Sounds		Reproducir Sonidos de Canalización						
Configs.PreferencesConfig.WandVerbosity.Label	Verbose Feedback		Retroalimentación Detallada						
Configs.PreferencesConfig.DefaultShapeType.Label	Default Shape		Forma Predeterminada						
Configs.PreferencesConfig.DefaultShapeMode.Label	Default Fill Mode		Modo de Relleno Predeterminado						
Configs.PreferencesConfig.RainFillSummonsClouds.Label	Summon Rain Clouds		Invocar Nubes de Lluvia						
Configs.PreferencesConfig.RainFillSpawnDusts.Label	Spawn Rain Dusts		Generar Escarchas de Lluvia						
Configs.PreferencesConfig.LavaRainStyle.Label	Lava Rain Style		Estilo de Lluvia de Lava						
Configs.PreferencesConfig.BlockExhaustion.Header	Block Exhaustion Behavior		Resolución de agotamiento de Bloques						
Configs.PreferencesConfig.BlockExhaustion.Label	When You Run Out of Blocks		Cuando te Quedas sin Bloques						
Configs.InfiniteOverride.ForceOff.Tooltip	""								
Configs.InfiniteOverride.ForceOff.Label	Force Off		Forzar Desactivación						
Configs.InfiniteOverride.ForceOn.Tooltip	""								
Configs.InfiniteOverride.ForceOn.Label	Force On		Forzar Activado						
